date,lat,lon,U2M
2020-11,-85.389684342,30.7344319040001,-1.8159475326538086
2020-10,-85.389684342,30.7344319040001,-2.7104806900024414
2020-04,-85.389684342,30.7344319040001,-3.004605531692505
2020-12,-85.389684342,30.7344319040001,-0.7607870101928711
2020-06,-85.389684342,30.7344319040001,-3.1653478145599365
2020-07,-85.389684342,30.7344319040001,-4.100317478179932
2020-03,-85.389684342,30.7344319040001,-2.5272586345672607
2020-02,-85.389684342,30.7344319040001,-1.8220256567001343
2020-01,-85.389684342,30.7344319040001,-0.2433348298072815
2020-08,-85.389684342,30.7344319040001,-4.523294925689697
2020-05,-85.343933087,30.6982504330001,-3.4209115505218506
2020-11,-85.343933087,30.6982504330001,-1.8159475326538086
2020-10,-85.343933087,30.6982504330001,-2.7104806900024414
2020-04,-85.343933087,30.6982504330001,-3.004605531692505
2020-12,-85.343933087,30.6982504330001,-0.7607870101928711
2020-06,-85.343933087,30.6982504330001,-3.1653478145599365
2020-07,-85.343933087,30.6982504330001,-4.100317478179932
2020-03,-85.343933087,30.6982504330001,-2.5272586345672607
2020-02,-85.343933087,30.6982504330001,-1.8220256567001343
2020-01,-85.343933087,30.6982504330001,-0.2433348298072815
2020-08,-85.343933087,30.6982504330001,-4.523294925689697
2020-05,-85.1740956689999,30.812530011,-3.4209115505218506
2020-11,-85.1740956689999,30.812530011,-1.8159475326538086
2020-10,-85.1740956689999,30.812530011,-2.7104806900024414
2020-04,-85.1740956689999,30.812530011,-3.004605531692505
2020-12,-85.1740956689999,30.812530011,-0.7607870101928711
2020-06,-85.1740956689999,30.812530011,-3.1653478145599365
2020-07,-85.1740956689999,30.812530011,-4.100317478179932
2020-03,-85.1740956689999,30.812530011,-2.5272586345672607
2020-02,-85.1740956689999,30.812530011,-1.8220256567001343
2020-01,-85.1740956689999,30.812530011,-0.2433348298072815
2020-08,-85.1740956689999,30.812530011,-4.523294925689697
2020-05,-85.6998231589999,30.2699503910001,-3.4209115505218506
2020-11,-85.6998231589999,30.2699503910001,-1.8159475326538086
2020-10,-85.6998231589999,30.2699503910001,-2.7104806900024414
2020-04,-85.6998231589999,30.2699503910001,-3.004605531692505
2020-12,-85.6998231589999,30.2699503910001,-0.7607870101928711
2020-06,-85.6998231589999,30.2699503910001,-3.1653478145599365
2020-07,-85.6998231589999,30.2699503910001,-4.100317478179932
2020-03,-85.6998231589999,30.2699503910001,-2.5272586345672607
2020-02,-85.6998231589999,30.2699503910001,-1.8220256567001343
2020-01,-85.6998231589999,30.2699503910001,-0.2433348298072815
2020-08,-85.6998231589999,30.2699503910001,-4.523294925689697
2020-05,-85.6370740529999,30.1590175590001,-3.4209115505218506
2020-11,-85.6370740529999,30.1590175590001,-1.8159475326538086
2020-10,-85.6370740529999,30.1590175590001,-2.7104806900024414
2020-04,-85.6370740529999,30.1590175590001,-3.004605531692505
2020-12,-85.6370740529999,30.1590175590001,-0.7607870101928711
2020-06,-85.6370740529999,30.1590175590001,-3.1653478145599365
2020-07,-85.6370740529999,30.1590175590001,-4.100317478179932
2020-03,-85.6370740529999,30.1590175590001,-2.5272586345672607
2020-02,-85.6370740529999,30.1590175590001,-1.8220256567001343
2020-01,-85.6370740529999,30.1590175590001,-0.2433348298072815
2020-08,-85.6370740529999,30.1590175590001,-4.523294925689697
2020-05,-85.877100693,30.618671598,-3.4209115505218506
2020-11,-85.877100693,30.618671598,-1.8159475326538086
2020-10,-85.877100693,30.618671598,-2.7104806900024414
2020-04,-85.877100693,30.618671598,-3.004605531692505
2020-12,-85.877100693,30.618671598,-0.7607870101928711
2020-06,-85.877100693,30.618671598,-3.1653478145599365
2020-07,-85.877100693,30.618671598,-4.100317478179932
2020-03,-85.877100693,30.618671598,-2.5272586345672607
2020-02,-85.877100693,30.618671598,-1.8220256567001343
2020-01,-85.877100693,30.618671598,-0.2433348298072815
2020-08,-85.877100693,30.618671598,-4.523294925689697
2020-05,-85.815448465,30.1869790690001,-3.4209115505218506
2020-11,-85.815448465,30.1869790690001,-1.8159475326538086
2020-10,-85.815448465,30.1869790690001,-2.7104806900024414
2020-04,-85.815448465,30.1869790690001,-3.004605531692505
2020-12,-85.815448465,30.1869790690001,-0.7607870101928711
2020-06,-85.815448465,30.1869790690001,-3.1653478145599365
2020-07,-85.815448465,30.1869790690001,-4.100317478179932
2020-03,-85.815448465,30.1869790690001,-2.5272586345672607
2020-02,-85.815448465,30.1869790690001,-1.8220256567001343
2020-01,-85.815448465,30.1869790690001,-0.2433348298072815
2020-08,-85.815448465,30.1869790690001,-4.523294925689697
2020-05,-85.7261495499999,30.181030376,-3.4209115505218506
2020-11,-85.7261495499999,30.181030376,-1.8159475326538086
2020-10,-85.7261495499999,30.181030376,-2.7104806900024414
2020-04,-85.7261495499999,30.181030376,-3.004605531692505
