X,Y,OBJECTID,ID,NAME,CITY,STATE,ZIP,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,LINES,MAX_VOLT,MIN_VOLT,MAX_INFER,MIN_INFER
-9188206.0701,3166720.2137,39135,154539,SARASOTA,SARASOTA,FL,34236,SUBSTATION,IN SERVICE,SARASOTA,12115,USA,27.345628414,-82.539059464,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,OpenStreetMap,2015/01/07 00:00:00+00,IMAGERY,2015/06/19 00:00:00+00,2,-999999,-999999,Y,Y
-9187531.1224,3167261.6029,39136,154540,LIME,SARASOTA,FL,34236,SUBSTATION,IN SERVICE,SARASOTA,12115,USA,27.349948237,-82.532996306,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,OpenStreetMap,2015/01/07 00:00:00+00,IMAGERY,2015/06/19 00:00:00+00,2,-999999,-999999,Y,Y
-9191290.2997,3185626.4814,39137,154541,BRADENTON,BRADENTON,FL,34205,SUBSTATION,IN SERVICE,MANATEE,12081,USA,27.496384375,-82.56676557,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,OpenStreetMap,2015/01/07 00:00:00+00,IMAGERY,2015/06/22 00:00:00+00,2,-999999,-999999,N,N
-9188375.5284,3201501.1243,39138,154542,BUCKEYE,PALMETTO,FL,34221,SUBSTATION,IN SERVICE,MANATEE,12081,USA,27.622807374,-82.5405817339999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,OpenStreetMap,2015/01/07 00:00:00+00,IMAGERY,2015/06/22 00:00:00+00,2,230,230,Y,Y
-9193034.8688,3249088.94,39139,154543,SHELDON ROAD,TAMPA,FL,33615,SUBSTATION,IN SERVICE,HILLSBOROUGH,12057,USA,28.0009133290001,-82.582437301,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014/04/07 00:00:00+00,IMAGERY,2015/06/18 00:00:00+00,5,230,69,Y,Y
-9189385.7399,3248107.6684,39140,154544,GEORGE ROAD,TAMPA,FL,33634,SUBSTATION,IN SERVICE,HILLSBOROUGH,12057,USA,27.993130008,-82.549656618,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014/04/07 00:00:00+00,IMAGERY,2015/06/18 00:00:00+00,2,69,69,Y,Y
-9188403.0127,3175868.6992,39141,154545,WHITFIELD,SARASOTA,FL,34243,SUBSTATION,IN SERVICE,MANATEE,12081,USA,27.4186028680001,-82.54082863,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014/04/07 00:00:00+00,IMAGERY,2015/06/22 00:00:00+00,2,-999999,-999999,Y,Y
-9189381.5064,3184376.9068,39142,154546,FRUIT INDUSTRIES,BRADENTON,FL,34208,SUBSTATION,IN SERVICE,MANATEE,12081,USA,27.4864267950001,-82.549618588,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014/04/07 00:00:00+00,IMAGERY,2015/06/23 00:00:00+00,3,-999999,-999999,N,N
-9189642.655,3193261.8153,39143,154547,RUBONIA,PALMETTO,FL,34221,SUBSTATION,IN SERVICE,MANATEE,12081,USA,27.557209067,-82.5519645259999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014/04/07 00:00:00+00,IMAGERY,2015/06/22 00:00:00+00,2,230,-999999,Y,N
-9189209.2479,3167016.8028,39144,154548,PAYNE,SARASOTA,FL,34236,SUBSTATION,IN SERVICE,SARASOTA,12115,USA,27.347994962,-82.548071164,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014/04/07 00:00:00+00,IMAGERY,2015/06/22 00:00:00+00,2,-999999,-999999,Y,Y
-9189445.2511,3246088.902,39145,154549,SKYWAY,TAMPA,FL,33634,SUBSTATION,IN SERVICE,HILLSBOROUGH,12057,USA,27.977115643,-82.550191216,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"Florida Geographic Data Library, OpenStreetMap",2014/04/07 00:00:00+00,IMAGERY,2015/06/18 00:00:00+00,3,69,69,Y,Y
-9192548.0328,3376544.4978,39148,154552,TAP154552,CRYSTAL RIVER,FL,34428,TAP,IN SERVICE,CITRUS,12017,USA,29.0070588400001,-82.578063979,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2016/10/12 00:00:00+00,IMAGERY,2016/10/12 00:00:00+00,3,69,69,Y,Y
-9191335.3812,3365581.6972,39149,154553,TAP154553,CRYSTAL RIVER,FL,34428,TAP,IN SERVICE,CITRUS,12017,USA,28.920895855,-82.567170544,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2016/10/12 00:00:00+00,IMAGERY,2016/10/12 00:00:00+00,3,115,115,Y,Y
-9189670.7947,3295074.1586,39150,154554,UNKNOWN154554,SPRING HILL,FL,34610,SUBSTATION,IN SERVICE,PASCO,12101,USA,28.3650299870001,-82.552217309,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2016/10/21 00:00:00+00,IMAGERY,2016/10/21 00:00:00+00,2,115,115,Y,Y
-9192086.9498,3265253.3014,39151,154555,TAP154555,ODESSA,FL,33556,TAP,IN SERVICE,HILLSBOROUGH,12057,USA,28.1290460000001,-82.573922,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2016/10/24 00:00:00+00,IMAGERY,2016/10/24 00:00:00+00,3,69,69,Y,Y
-9186803.1941,3168121.1328,39152,154556,TAP154556,SARASOTA,FL,34234,TAP,IN SERVICE,SARASOTA,12115,USA,27.3568062050001,-82.5264572149999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2016/11/01 00:00:00+00,IMAGERY,2016/11/01 00:00:00+00,3,-999999,-999999,Y,Y
-9188171.5219,3166642.178,39153,154557,TAP154557,SARASOTA,FL,34236,TAP,IN SERVICE,SARASOTA,12115,USA,27.3450057420001,-82.5387491119999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2016/11/01 00:00:00+00,IMAGERY,2016/11/01 00:00:00+00,3,-999999,-999999,Y,Y
-9188163.211,3167107.6745,39154,154558,TAP154558,SARASOTA,FL,34236,TAP,IN SERVICE,SARASOTA,12115,USA,27.3487200370001,-82.538674454,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2016/11/01 00:00:00+00,IMAGERY,2016/11/01 00:00:00+00,3,-999999,-999999,Y,Y
-9269009.0852,3519159.8215,39219,154628,TAP154628,MAYO,FL,32066,TAP,IN SERVICE,LAFAYETTE,12067,USA,30.121365623,-83.264925299,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2016/10/13 00:00:00+00,IMAGERY,2016/10/13 00:00:00+00,3,69,69,N,N
-9232529.2757,3538953.4505,39239,154649,UNKNOWN154649,LIVE OAK,FL,32060,SUBSTATION,IN SERVICE,SUWANNEE,12121,USA,30.275044354,-82.9372215939999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,OpenStreetMap,2016/08/04 00:00:00+00,IMAGERY,2017/05/09 00:00:00+00,3,69,69,Y,Y
-9227793.0078,3442792.8479,39241,154651,UNKNOWN154651,CHIEFLAND,FL,32626,SUBSTATION,IN SERVICE,LEVY,12075,USA,29.526210501,-82.894674976,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,OpenStreetMap,2016/08/04 00:00:00+00,IMAGERY,2017/05/10 00:00:00+00,4,69,69,Y,Y
